period_start,trading_end,Long,Short,distance,return_diff_entry,return_diff_exit,trigger,return,date_entry,date_exit,exit_reason,days_in_trade
2023-01-03,2024-05-31,CPT,MAA,0.10721964030593482,-0.03902910025584738,-0.03148968253170792,0.03527502886016616,-0.0008043498855663245,2024-05-21 04:00:00+00:00,2024-05-29 04:00:00+00:00,Convergence,5
2023-01-03,2024-05-31,FE,PPL,0.10867488797962294,0.041566339639305894,0.0374772262476708,0.041545346025164756,-0.0017406840810901825,2024-01-12 05:00:00+00:00,2024-01-16 05:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,FE,PPL,0.10867488797962294,0.04967957080089369,0.03674256110405483,0.041545346025164756,-0.005863996235448865,2024-01-18 05:00:00+00:00,2024-01-24 05:00:00+00:00,Convergence,4
2023-01-03,2024-05-31,FE,PPL,0.10867488797962294,0.06862993071286705,0.03273599633804436,0.041545346025164756,-0.01838358899542747,2024-02-09 05:00:00+00:00,2024-02-22 05:00:00+00:00,Convergence,8
2023-01-03,2024-05-31,FE,PPL,0.10867488797962294,0.04246950261489335,0.031523881440413626,0.041545346025164756,-0.005586491611096145,2024-02-28 05:00:00+00:00,2024-02-29 05:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,FE,PPL,0.10867488797962294,0.04184969177823317,0.03665327776625371,0.041545346025164756,-0.002176050650732453,2024-03-11 04:00:00+00:00,2024-03-12 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,FE,PPL,0.10867488797962294,0.0526482126840766,0.039435153165381265,0.041545346025164756,-0.006733167185942857,2024-03-14 04:00:00+00:00,2024-03-22 04:00:00+00:00,Convergence,6
2023-01-03,2024-05-31,FE,PPL,0.10867488797962294,0.044225775355660635,0.033716875479585795,0.041545346025164756,-0.005261205669465863,2024-03-25 04:00:00+00:00,2024-03-27 04:00:00+00:00,Convergence,2
2023-01-03,2024-05-31,FE,PPL,0.10867488797962294,0.043105502345583746,0.04063289156755567,0.041545346025164756,-0.0013533356344417324,2024-04-17 04:00:00+00:00,2024-04-18 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,CMS,PPL,0.1146863169066496,-0.04079884161434855,-0.0331358462436907,0.03944697907907787,-0.004081270383407776,2024-03-01 05:00:00+00:00,2024-03-04 05:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,CMS,PPL,0.1146863169066496,-0.05180723937796439,-0.03748701800728527,0.03944697907907787,-0.007181266575716383,2024-03-06 05:00:00+00:00,2024-03-07 05:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,ED,CNP,0.1149701225019168,-0.04275905505538358,-0.037307615250307125,0.04031021331100451,-0.002720289044126245,2024-05-08 04:00:00+00:00,2024-05-09 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,AEP,XEL,0.12359402073441764,0.05964810069847082,0.1763177217422638,0.040044962826644194,0.06823779183726564,2024-02-15 05:00:00+00:00,2024-03-22 04:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,AEP,XEL,0.12359402073441764,0.17200067461832624,0.19052172116059207,0.040044962826644194,0.007433783884444711,2024-03-25 04:00:00+00:00,2024-04-30 04:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,AEP,XEL,0.12359402073441764,0.2155059083394527,0.2175455584180257,0.040044962826644194,-8.039309354446189e-06,2024-05-01 04:00:00+00:00,2024-05-30 04:00:00+00:00,End of Period,20
2023-01-03,2024-05-31,KO,LNT,0.12467298008141937,0.047945979880652745,0.07564108320341612,0.04353276980876338,0.014054324195308165,2024-01-17 05:00:00+00:00,2024-02-22 05:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,KO,LNT,0.12467298008141937,0.0751144275514658,0.042081278944761324,0.04353276980876338,-0.0163387724155859,2024-02-23 05:00:00+00:00,2024-03-06 05:00:00+00:00,Convergence,8
2023-01-03,2024-05-31,KO,LNT,0.12467298008141937,0.0620499100800338,0.04088365100668945,0.04353276980876338,-0.010923535944502905,2024-03-12 04:00:00+00:00,2024-04-02 04:00:00+00:00,Convergence,14
2023-01-03,2024-05-31,KO,LNT,0.12467298008141937,0.045613405840341126,0.04291151370699742,0.04353276980876338,-0.0011725383277547685,2024-04-03 04:00:00+00:00,2024-04-04 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,KO,LNT,0.12467298008141937,0.05190037455861063,0.03617717500831297,0.04353276980876338,-0.008083181642638992,2024-04-05 04:00:00+00:00,2024-04-08 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,KO,LNT,0.12467298008141937,0.04526757191455322,0.04341979397393858,0.04353276980876338,-0.0007944586607167015,2024-04-10 04:00:00+00:00,2024-04-17 04:00:00+00:00,Convergence,5
2023-01-03,2024-05-31,KO,LNT,0.12467298008141937,0.044140342484701334,0.043374758195348306,0.04353276980876338,-0.00032594154619913773,2024-04-19 04:00:00+00:00,2024-05-09 04:00:00+00:00,Convergence,14
2023-01-03,2024-05-31,KO,LNT,0.12467298008141937,0.05705047333503677,0.04188728270141118,0.04353276980876338,-0.007374892688260415,2024-05-10 04:00:00+00:00,2024-05-15 04:00:00+00:00,Convergence,3
2023-01-03,2024-05-31,KO,LNT,0.12467298008141937,0.04548214553993102,0.040595395841572124,0.04353276980876338,-0.0022900005988681915,2024-05-16 04:00:00+00:00,2024-05-17 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,KO,LNT,0.12467298008141937,0.05581420566467732,0.058310127361553166,0.04353276980876338,0.0018931675025808392,2024-05-22 04:00:00+00:00,2024-05-30 04:00:00+00:00,End of Period,5
2023-01-03,2024-05-31,AEE,WEC,0.13204276884615246,0.03641391858150267,0.032652962785069906,0.033723740516959304,-0.002091852439034425,2024-02-21 05:00:00+00:00,2024-03-07 05:00:00+00:00,Convergence,11
2023-01-03,2024-05-31,AEE,WEC,0.13204276884615246,0.03391545739440027,0.03223565325908817,0.033723740516959304,-0.0002627937567957206,2024-03-11 04:00:00+00:00,2024-03-14 04:00:00+00:00,Convergence,3
2023-01-03,2024-05-31,AEE,WEC,0.13204276884615246,0.03493141558861412,0.05130240057002311,0.033723740516959304,0.008164698702388007,2024-03-19 04:00:00+00:00,2024-04-24 04:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,AEE,WEC,0.13204276884615246,0.04987663548330168,0.032477948162734416,0.033723740516959304,-0.008758921200790137,2024-04-25 04:00:00+00:00,2024-05-07 04:00:00+00:00,Convergence,8
2023-01-03,2024-05-31,NI,CNP,0.13566775298861974,-0.041601493590889826,-0.03212341559812937,0.038973423903742005,-0.004556038952151953,2024-03-21 04:00:00+00:00,2024-04-25 04:00:00+00:00,Convergence,24
2023-01-03,2024-05-31,NI,CNP,0.13566775298861974,-0.04315425821495644,-0.038801897112700434,0.038973423903742005,-0.002266213355593072,2024-04-26 04:00:00+00:00,2024-04-29 04:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,NI,CNP,0.13566775298861974,-0.040069526439643566,-0.03416999138056798,0.038973423903742005,-0.00297436574928156,2024-04-30 04:00:00+00:00,2024-05-23 04:00:00+00:00,Convergence,17
2023-01-03,2024-05-31,ETR,CMS,0.14004921265435824,0.045205264547445445,0.043646820107311024,0.04469592414958477,0.00037184887178964843,2024-05-20 04:00:00+00:00,2024-05-23 04:00:00+00:00,Convergence,3
2023-01-03,2024-05-31,EVRG,AWK,0.15575434491659818,-0.050273872190841784,-0.04121260619871325,0.04854154079086962,-0.004361493367093794,2024-02-23 05:00:00+00:00,2024-02-26 05:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,EVRG,AWK,0.15575434491659818,-0.05035517035787118,-0.04358568046010214,0.04854154079086962,-0.003574766006259389,2024-02-27 05:00:00+00:00,2024-02-28 05:00:00+00:00,Convergence,1
2023-01-03,2024-05-31,EVRG,AWK,0.15575434491659818,-0.06769642214790228,-0.087481067467029,0.04854154079086962,0.011047140651209375,2024-03-07 05:00:00+00:00,2024-04-12 04:00:00+00:00,Time Limit Reached (25 days),25
2023-01-03,2024-05-31,EVRG,AWK,0.15575434491659818,-0.0813120883195908,-0.041470923015788586,0.04854154079086962,-0.01935561844310918,2024-04-15 04:00:00+00:00,2024-05-06 04:00:00+00:00,Convergence,15
